galderaEus,galderaIng,galderaEs,erantzunZuzena,kategoriaEus,kategoriaIng,kategoriaEs,maila,irudia
Ze zenbaki da hau?,What number is this?,¿Que numero es este?,Bi,Zenbakiak 2,Numbers 2,Numeros 2,A2,/img/zenbakiak/dos.png
Ze zenbaki da hau?,What number is this?,¿Que numero es este?,Zazpi,Zenbakiak 2,Numbers 2,Numeros 2,A2,/img/zenbakiak/siete.png
Ze zenbaki da hau?,What number is this?,¿Que numero es este?,Bederatzi,Zenbakiak 2,Numbers 2,Numeros 2,A2,/img/zenbakiak/nueve.png
Ze zenbaki da hau?,What number is this?,¿Que numero es este?,Bost,Zenbakiak 2,Numbers 2,Numeros 2,A2,/img/zenbakiak/cinco.png
Ze zenbaki da hau?,What number is this?,¿Que numero es este?,Zortzi,Zenbakiak 2,Numbers 2,Numeros 2,A2,/img/zenbakiak/ocho.png
Ze zenbaki da hau?,What number is this?,¿Que numero es este?,Sei,Zenbakiak 2,Numbers 2,Numeros 2,A2,/img/zenbakiak/seis.png
Ze zenbaki da hau?,What number is this?,¿Que numero es este?,Hamar,Zenbakiak 2,Numbers 2,Numeros 2,A2,/img/zenbakiak/diez.png
Ze zenbaki da hau?,What number is this?,¿Que numero es este?,Bat,Zenbakiak 2,Numbers 2,Numeros 2,A2,/img/zenbakiak/uno.png
Zer gauza da hau?,What thing is this?,¿Que cosa es esta?,Aulkia,Gauzak 2,Things 2,Cosas 2,A2,/img/gauzak/silla.png
Zer gauza da hau?,What thing is this?,¿Que cosa es esta?,Mahaia,Gauzak 2,Things 2,Cosas 2,A2,/img/gauzak/mesa.png
Zer gauza da hau?,What thing is this?,¿Que cosa es esta?,Liburua,Gauzak 2,Things 2,Cosas 2,A2,/img/gauzak/libro.png
Zer gauza da hau?,What thing is this?,¿Que cosa es esta?,Telebista,Gauzak 2,Things 2,Cosas 2,A2,/img/gauzak/tele.png
Zer gauza da hau?,What thing is this?,¿Que cosa es esta?,Ohea,Gauzak 2,Things 2,Cosas 2,A2,/img/gauzak/cama.png
Zer gauza da hau?,What thing is this?,¿Que cosa es esta?,Atea,Gauzak 2,Things 2,Cosas 2,A2,/img/gauzak/puerta.png
Zer gauza da hau?,What thing is this?,¿Que cosa es esta?,Erlojua,Gauzak 2,Things 2,Cosas 2,A2,/img/gauzak/reloj.png
Zer gauza da hau?,What thing is this?,¿Que cosa es esta?,Giltza,Gauzak 2,Things 2,Cosas 2,A2,/img/gauzak/llave.png
Zer gauza da hau?,What thing is this?,¿Que cosa es esta?,Telefonoa,Gauzak 2,Things 2,Cosas 2,A2,/img/gauzak/phone.png
Zer gauza da hau?,What thing is this?,¿Que cosa es esta?,Ispilua,Gauzak 2,Things 2,Cosas 2,A2,/img/gauzak/espejo.png
Zer gauza da hau?,What thing is this?,¿Que cosa es esta?,Arkatza,Gauzak 2,Things 2,Cosas 2,A2,/img/gauzak/lapiz.png
Zer gauza da hau?,What thing is this?,¿Que cosa es esta?,Lehioa,Gauzak 2,Things 2,Cosas 2,A2,/img/gauzak/ventana.png
